CD74,CXCR4
CD74,HLA-DRA
CD74,HLA-DRB1
CD74,HLA-DQA2
CD74,HLA-DRB5
CD74,COPG2
CPA1,CPA2
CPA1,CPA3
RANBP9,GID8
RANBP9,GID4
RANBP9,AXL
RANBP9,RMND5A
RANBP9,ARMC8
RANBP9,RANBP10
RANBP9,L1CAM
RANBP9,WDR26
RANBP9,MKLN1
RANBP9,SOS1
CD4,CD82
CD4,HLA-DQA2
CD4,HLA-DQA1
CD4,ITIH4
CD4,LCK
CD4,IGLL5
CD4,CD5
CD4,HLA-DOB
CD4,HLA-DQB1
CD4,CCR5
CD4,HLA-DRA
CD4,HLA-DRB1
CD4,TRAT1
CD4,CD8A
CD4,CD8B
CD4,HLA-DOA
CD4,CD8B2
CD4,CD81
CD4,HLA-DRB5
CD4,PIP
CD4,HLA-DMB
CD4,PLAT
CD4,DEFA1B
CD4,SYK
CD4,ENPEP
CD4,CD247
CD4,ZAP70
CD4,CD3D
CD4,ICAM1
CD4,CD3E
CD4,HLA-DMA
CD4,GOLPH3
CD4,FN1
CD4,CD2
CD4,CXCR4
CD4,HLA-DPB1
CD4,HLA-DPA1
CD4,CD3G
CD4,IL16
CD4,FYN
CD4,ERVW-1
PPP5C,HSF1
PPP5C,TCP1
PPP5C,STIP1
PPP5C,DNAJB11
PPP5C,DNAJC9
PPP5C,BRAF
PPP5C,CCT2
PPP5C,HSPA4
PPP5C,CDC37
PPP5C,HSPB8
PPP5C,TSC1
PPP5C,PTGES3
PPP5C,BAG3
PPP5C,CCT6B
PPP5C,HSP90AA1
PPP5C,CCT3
PPP5C,CCT5
PPP5C,HSP90AB1
PPP5C,SDF2L1
PPP5C,PSMG2
PPP5C,CCT8
PPP5C,CCT4
PPP5C,CCT7
PPP5C,PSMG1
PPP5C,CCT6A
PPP5C,SDF2
MAP4K5,GRB2
MAP4K5,CRK
ERCC1,KDM1A
ERCC1,ERCC4
ERCC1,SWSAP1
ERCC1,MSH3
ERCC1,MUS81
ERCC1,ERCC5
ERCC1,XRCC5
ERCC1,SLX1A
ERCC1,XRCC4
ERCC1,RAD52
ERCC1,RCOR1
ERCC1,RAD23B
ERCC1,PAXX
ERCC1,ATM
ERCC1,BRCA1
ERCC1,XRCC6
ERCC1,NHEJ1
ERCC1,XPC
ERCC1,ATP23
ERCC1,SLX4
ERCC1,MSH2
ERCC1,PHF21A
ERCC1,ERCC8
ERCC1,PRKDC
ERCC1,DCLRE1C
ERCC1,FANCM
ERCC1,ZSWIM7
ERCC1,MSH6
ERCC1,POLD1
ERCC1,CETN2
ERCC1,XPA
ERCC1,ERCC2
ERCC1,LIG4
ERCC1,ERCC3
ERCC1,FEN1
HEBP1,FPR3
COX15,MT-CO3
COX15,NDUFA4
COX15,MT-CO2
COX15,CYC1
COX15,COX5A
COX15,UQCRFS1
COX15,PET117
COX15,COX7C
COX15,MT-CO1
COX15,BCS1L
COX15,UQCRC2
XYLT2,XYLT1
XYLT2,GRB2
SCTR,GNAS
SCTR,ANO6
SCTR,GNG2
SCTR,ENSG00000277836
SCTR,SCT
SCTR,GNB1
SNAI2,SIN3A
SNAI2,KDM1A
SNAI2,SNAI1
SLC7A9,SLC3A1
SLC7A9,SLC3A2
RTF2,TRMT1
RB1CC1,ATG13
RB1CC1,SESN2
RB1CC1,NRBF2
RB1CC1,ATG12
RB1CC1,TBKBP1
RB1CC1,SMCR8
RB1CC1,PTK2B
RB1CC1,CCPG1
RB1CC1,OPTN
RB1CC1,GABARAP
RB1CC1,GABARAPL1
RB1CC1,MAP3K5
RB1CC1,CALCOCO2
RB1CC1,BECN1
RB1CC1,ULK1
RB1CC1,PTK2
RB1CC1,ATG101
RB1CC1,ATG16L1
RB1CC1,GABARAPL2
RB1CC1,ULK2
RB1CC1,TP53
RB1CC1,C9orf72
RB1CC1,ATG14
AKAP11,IQGAP2
PIGQ,PIGY
PIGQ,PIGH
PIGQ,PIGA
PIGQ,PIGP
PIGQ,PIGC
PIGQ,DPM2
CDH17,KLRG1
CDH17,KDR
CDH17,OLFM4
CDH17,CTNNB1
CDH17,PSEN1
CDH17,VCL
CDH17,PECAM1
CDH17,NECTIN1
CDH17,CDH5
CDH17,PTPN1
CDH17,CTNNA1
CDH17,TJP1
CDH17,CTNND1
CDH17,CTNND2
CDH17,OCLN
CDH17,CLDN5
GABARAPL2,NBR1
GABARAPL2,TBC1D25
GABARAPL2,ATG12
GABARAPL2,TBC1D15
GABARAPL2,TP53INP1
GABARAPL2,GABRG1
GABARAPL2,TBC1D5
GABARAPL2,ULK1
GABARAPL2,NCOA4
GABARAPL2,GABRA6
GABARAPL2,PLEKHM1
GABARAPL2,TAX1BP1
GABARAPL2,ATL3
GABARAPL2,GABARAP
GABARAPL2,OPTN
GABARAPL2,PEX10
GABARAPL2,ATG7
GABARAPL2,BCL2L13
GABARAPL2,RB1CC1
GABARAPL2,SIRT1
GABARAPL2,SQSTM1
GABARAPL2,RETREG1
GABARAPL2,GABRG3
GABARAPL2,GABARAPL1
GABARAPL2,PEX6
GABARAPL2,UBA5
GABARAPL2,CALCOCO2
GABARAPL2,NIPSNAP2
GABARAPL2,CD300C
GABARAPL2,FUNDC1
GABARAPL2,PSMD4
GABARAPL2,ATG13
GABARAPL2,TECPR2
GABARAPL2,ATG3
GABARAPL2,BNIP3
GABARAPL2,ATG4B
GABARAPL2,GABRA4
GABARAPL2,BNIP3L
GABARAPL2,ATG5
MYOC,FBN1
MYOC,FLOT1
MYOC,SPARCL1
MYOC,OLFM3
BOD1L1,ASH2L
BOD1L1,RBBP5
BOD1L1,SETD1A
BOD1L1,WDR5
BOD1L1,CXXC1
BOD1L1,HCFC2
RTN4R,OMG
RTN4R,ANPEP
RTN4R,NGFR
RTN4R,TNFRSF19
RTN4R,RTN4
RTN4R,LINGO1
RTN4R,MAG
PSMA4,DESI1
PSMA4,PSMD6
PSMA4,PSMD14
PSMA4,AKIRIN2
PSMA4,PSMD11
PSMA4,PSMB3
PSMA4,PSMB11
PSMA4,PSMA6
PSMA4,PSMD2
PSMA4,PSME1
PSMA4,PSME4
PSMA4,PSMC5
PSMA4,PSMD7
PSMA4,PSMB9
PSMA4,PSMD1
PSMA4,PSMB4
PSMA4,PSMG2
PSMA4,PSME2
PSMA4,PSMC6
PSMA4,ADRM1
PSMA4,PSMA3
PSMA4,PSMD8
PSMA4,PSMB10
PSMA4,UBB
PSMA4,PSMD3
PSMA4,UCHL5
PSMA4,PSMC1
PSMA4,PSMA7
PSMA4,PSMC4
PSMA4,PSMF1
PSMA4,UBC
PSMA4,PSMD4
PSMA4,PSMB8
PSMA4,PSMB7
PSMA4,PSMC2
PSMA4,PSMA2
PSMA4,PSMD12
PSMA4,PSMA1
PSMA4,PSMC3
PSMA4,PSME3
PSMA4,UBA52
PSMA4,PSMA5
PSMA4,PSMA8
PSMA4,PSMB5
PSMA4,PSMB1
PSMA4,RPS27A
PSMA4,POMP
PSMA4,PSMB2
PSMA4,USP14
PSMA4,PSMD13
PSMA4,UBQLN4
PSMA4,PSMB6
LCP2,GRAP
