,kim23-hm1-100pct-cells-100pct-reads_STRING12_1000TFs,kim23-hm1-100pct-cells-10pct-reads_STRING12_1000TFs,kim23-hm1-100pct-cells-20pct-reads_STRING12_1000TFs,kim23-hm1-100pct-cells-30pct-reads_STRING12_1000TFs,kim23-hm1-100pct-cells-40pct-reads_STRING12_1000TFs,kim23-hm1-100pct-cells-50pct-reads_STRING12_1000TFs,kim23-hm1-100pct-cells-60pct-reads_STRING12_1000TFs,kim23-hm1-100pct-cells-70pct-reads_STRING12_1000TFs,kim23-hm1-100pct-cells-80pct-reads_STRING12_1000TFs,kim23-hm1-100pct-cells-90pct-reads_STRING12_1000TFs,kim23-hm1-10pct-cells-100pct-reads_STRING12_1000TFs,kim23-hm1-10pct-cells-10pct-reads_STRING12_1000TFs,kim23-hm1-10pct-cells-20pct-reads_STRING12_1000TFs,kim23-hm1-10pct-cells-30pct-reads_STRING12_1000TFs,kim23-hm1-10pct-cells-40pct-reads_STRING12_1000TFs,kim23-hm1-10pct-cells-50pct-reads_STRING12_1000TFs,kim23-hm1-10pct-cells-60pct-reads_STRING12_1000TFs,kim23-hm1-10pct-cells-70pct-reads_STRING12_1000TFs,kim23-hm1-10pct-cells-80pct-reads_STRING12_1000TFs,kim23-hm1-10pct-cells-90pct-reads_STRING12_1000TFs,kim23-hm1-20pct-cells-100pct-reads_STRING12_1000TFs,kim23-hm1-20pct-cells-10pct-reads_STRING12_1000TFs,kim23-hm1-20pct-cells-20pct-reads_STRING12_1000TFs,kim23-hm1-20pct-cells-30pct-reads_STRING12_1000TFs,kim23-hm1-20pct-cells-40pct-reads_STRING12_1000TFs,kim23-hm1-20pct-cells-50pct-reads_STRING12_1000TFs,kim23-hm1-20pct-cells-60pct-reads_STRING12_1000TFs,kim23-hm1-20pct-cells-70pct-reads_STRING12_1000TFs,kim23-hm1-20pct-cells-80pct-reads_STRING12_1000TFs,kim23-hm1-20pct-cells-90pct-reads_STRING12_1000TFs,kim23-hm1-30pct-cells-100pct-reads_STRING12_1000TFs,kim23-hm1-30pct-cells-10pct-reads_STRING12_1000TFs,kim23-hm1-30pct-cells-20pct-reads_STRING12_1000TFs,kim23-hm1-30pct-cells-30pct-reads_STRING12_1000TFs,kim23-hm1-30pct-cells-40pct-reads_STRING12_1000TFs,kim23-hm1-30pct-cells-50pct-reads_STRING12_1000TFs,kim23-hm1-30pct-cells-60pct-reads_STRING12_1000TFs,kim23-hm1-30pct-cells-70pct-reads_STRING12_1000TFs,kim23-hm1-30pct-cells-80pct-reads_STRING12_1000TFs,kim23-hm1-30pct-cells-90pct-reads_STRING12_1000TFs,kim23-hm1-40pct-cells-100pct-reads_STRING12_1000TFs,kim23-hm1-40pct-cells-10pct-reads_STRING12_1000TFs,kim23-hm1-40pct-cells-20pct-reads_STRING12_1000TFs,kim23-hm1-40pct-cells-30pct-reads_STRING12_1000TFs,kim23-hm1-40pct-cells-40pct-reads_STRING12_1000TFs,kim23-hm1-40pct-cells-50pct-reads_STRING12_1000TFs,kim23-hm1-40pct-cells-60pct-reads_STRING12_1000TFs,kim23-hm1-40pct-cells-70pct-reads_STRING12_1000TFs,kim23-hm1-40pct-cells-80pct-reads_STRING12_1000TFs,kim23-hm1-40pct-cells-90pct-reads_STRING12_1000TFs,kim23-hm1-50pct-cells-100pct-reads_STRING12_1000TFs,kim23-hm1-50pct-cells-10pct-reads_STRING12_1000TFs,kim23-hm1-50pct-cells-20pct-reads_STRING12_1000TFs,kim23-hm1-50pct-cells-30pct-reads_STRING12_1000TFs,kim23-hm1-50pct-cells-40pct-reads_STRING12_1000TFs,kim23-hm1-50pct-cells-50pct-reads_STRING12_1000TFs,kim23-hm1-50pct-cells-60pct-reads_STRING12_1000TFs,kim23-hm1-50pct-cells-70pct-reads_STRING12_1000TFs,kim23-hm1-50pct-cells-80pct-reads_STRING12_1000TFs,kim23-hm1-50pct-cells-90pct-reads_STRING12_1000TFs,kim23-hm1-60pct-cells-100pct-reads_STRING12_1000TFs,kim23-hm1-60pct-cells-10pct-reads_STRING12_1000TFs,kim23-hm1-60pct-cells-20pct-reads_STRING12_1000TFs,kim23-hm1-60pct-cells-30pct-reads_STRING12_1000TFs,kim23-hm1-60pct-cells-40pct-reads_STRING12_1000TFs,kim23-hm1-60pct-cells-50pct-reads_STRING12_1000TFs,kim23-hm1-60pct-cells-60pct-reads_STRING12_1000TFs,kim23-hm1-60pct-cells-70pct-reads_STRING12_1000TFs,kim23-hm1-60pct-cells-80pct-reads_STRING12_1000TFs,kim23-hm1-60pct-cells-90pct-reads_STRING12_1000TFs,kim23-hm1-70pct-cells-100pct-reads_STRING12_1000TFs,kim23-hm1-70pct-cells-10pct-reads_STRING12_1000TFs,kim23-hm1-70pct-cells-20pct-reads_STRING12_1000TFs,kim23-hm1-70pct-cells-30pct-reads_STRING12_1000TFs,kim23-hm1-70pct-cells-40pct-reads_STRING12_1000TFs,kim23-hm1-70pct-cells-50pct-reads_STRING12_1000TFs,kim23-hm1-70pct-cells-60pct-reads_STRING12_1000TFs,kim23-hm1-70pct-cells-70pct-reads_STRING12_1000TFs,kim23-hm1-70pct-cells-80pct-reads_STRING12_1000TFs,kim23-hm1-70pct-cells-90pct-reads_STRING12_1000TFs,kim23-hm1-80pct-cells-100pct-reads_STRING12_1000TFs,kim23-hm1-80pct-cells-10pct-reads_STRING12_1000TFs,kim23-hm1-80pct-cells-20pct-reads_STRING12_1000TFs,kim23-hm1-80pct-cells-30pct-reads_STRING12_1000TFs,kim23-hm1-80pct-cells-40pct-reads_STRING12_1000TFs,kim23-hm1-80pct-cells-50pct-reads_STRING12_1000TFs,kim23-hm1-80pct-cells-60pct-reads_STRING12_1000TFs,kim23-hm1-80pct-cells-70pct-reads_STRING12_1000TFs,kim23-hm1-80pct-cells-80pct-reads_STRING12_1000TFs,kim23-hm1-80pct-cells-90pct-reads_STRING12_1000TFs,kim23-hm1-90pct-cells-100pct-reads_STRING12_1000TFs,kim23-hm1-90pct-cells-10pct-reads_STRING12_1000TFs,kim23-hm1-90pct-cells-20pct-reads_STRING12_1000TFs,kim23-hm1-90pct-cells-30pct-reads_STRING12_1000TFs,kim23-hm1-90pct-cells-40pct-reads_STRING12_1000TFs,kim23-hm1-90pct-cells-50pct-reads_STRING12_1000TFs,kim23-hm1-90pct-cells-60pct-reads_STRING12_1000TFs,kim23-hm1-90pct-cells-70pct-reads_STRING12_1000TFs,kim23-hm1-90pct-cells-80pct-reads_STRING12_1000TFs,kim23-hm1-90pct-cells-90pct-reads_STRING12_1000TFs
GENIE3,0.7602885316192756,0.6270193949062173,0.6505072079168817,0.6439093879884012,0.6713411749944687,0.7381489036878132,0.7278382765998888,0.7491635271130708,0.7329415599562175,0.7482868782599001,0.7457880553458306,0.5913182983070773,0.6011104296515009,0.6235021439795355,0.6740958163113753,0.6702849194945726,0.7044328375169766,0.7038513185920767,0.7425348440324587,0.7359741780801267,0.756271443036534,0.5910465832708238,0.6277217529095539,0.6489789960131235,0.6594350817630363,0.6844304839199147,0.710311403768231,0.7036506930209445,0.7333999787350602,0.7557508527450622,0.7557382739671011,0.5723739706709953,0.6175401127063508,0.6501683150003975,0.6723090192336724,0.6985245054943782,0.7191401941270896,0.7147768293257822,0.7438727579543891,0.7528085973066845,0.7489841896701697,0.600795193885996,0.6249169331574853,0.6331062100242995,0.6928077452357934,0.7141393301520359,0.7122078522914765,0.7318334421120638,0.7338504712757328,0.7444527438286532,0.7528611974588019,0.6058376687617681,0.6061076720006895,0.6464715311685303,0.6680521508904056,0.7026911262235528,0.6961355841925422,0.726132423538692,0.7321121391918145,0.7392102281431876,0.7730480485214797,0.6051648567455526,0.631757875861256,0.6603720738300538,0.6916114665415796,0.6986123034968716,0.7405351239059614,0.7636482342905573,0.7765518003411762,0.7646358474316133,0.7681039930020219,0.6109583082183845,0.6295790126441685,0.6832638670224298,0.6974334209035455,0.7107349580385062,0.7464439432732154,0.75361522778109,0.7520894964068312,0.7635961532498654,0.7532539108706495,0.6161121687582937,0.6156911208674537,0.6713177906784877,0.6905320359300118,0.7156472117651317,0.7425317556897915,0.7473371508464753,0.7376680139946338,0.7484069080589678,0.76105490148855,0.602071629876908,0.6084246582170488,0.6706651705301232,0.7014218416142395,0.7241125263486533,0.737961871171528,0.7432902210026742,0.7593335335322107,0.7579136370505534
GRNBOOST2,0.7535824667190032,0.5503447846058702,0.6257171908729143,0.6480757648569572,0.6754809807226109,0.7421601554179427,0.7341588589211085,0.7556259852299333,0.7359977122563853,0.7481166147054692,0.7110690638366728,0.5209754740953427,0.5619498160321461,0.5744880364220594,0.6238751048017832,0.6429795446748531,0.6597954037315643,0.6636441622748318,0.7105677289880682,0.7085900557622974,0.7394404220978688,0.5346143338206993,0.5816282539218807,0.6141005225685289,0.6385347483398549,0.648477140071432,0.6807392851448414,0.6920722201819736,0.7203196738605014,0.7372366239147302,0.7436669533682284,0.5301201075106781,0.5718575521145383,0.6304310262567459,0.6693906966415619,0.6990746296407234,0.7069239301483169,0.7117726202876247,0.7353531124297686,0.7431977777599597,0.7420372564075937,0.5417840524752255,0.5922573338983737,0.6269437178690731,0.6915509261939502,0.7086021571366312,0.70874947332559,0.7304972999281986,0.7327721701860558,0.743571896917591,0.7457193181150049,0.5402281963189571,0.5728726182831304,0.6228919569980302,0.6722588267744788,0.7079772129158666,0.6992150551665256,0.7263381541780247,0.7331116520282481,0.7395810462896807,0.7681525916473235,0.536315792712347,0.592740654438419,0.6552000511989565,0.6854824491630129,0.6989642999175123,0.7445640030404945,0.7620475648033379,0.7678614042124169,0.757569630513629,0.7588620804916889,0.5498205630246356,0.5931205924658709,0.6742006379402695,0.6942419135957671,0.7168156197322304,0.7514168537427462,0.7533976990530394,0.7498410427357841,0.7598668044246144,0.7515806099979687,0.5453327918805811,0.5961122467369645,0.6777336991465114,0.6853632325910021,0.7087182456888308,0.7481053303841104,0.7515009013438095,0.7370910913797811,0.7506792640527292,0.7586247571375613,0.5378141397035137,0.6025704038998932,0.6672371306552765,0.7004614229919217,0.7322864029681652,0.7492797388317594,0.749458877694481,0.7686492070239948,0.7614251497278969
PIDC,0.7850539922802146,0.6254065523015572,0.6565808299913374,0.6543284868197485,0.6800587802341441,0.7521545955818261,0.7528742679485754,0.7764918077691882,0.7562680017441272,0.7727547581673434,0.7488241692480542,0.5737422210667227,0.5901576837329986,0.5991584667050673,0.6695059375965555,0.6704208639474105,0.6903147995896259,0.700373014238405,0.7396207508774355,0.7312269870037436,0.7676762906117328,0.5881989285438876,0.6242560576731715,0.6442192314464419,0.6759408980794791,0.6892785634646736,0.7229716880414536,0.7153748293670916,0.7518634254351931,0.7758838614003314,0.7830203498780565,0.5705924750197259,0.617787699008209,0.6615853705978598,0.6864306326331988,0.6980077941530412,0.7358244963080997,0.7320754902918117,0.7705631002955047,0.7822364026257889,0.7696379608356444,0.596877123386177,0.6367773258704733,0.6505293097492334,0.7010770493899332,0.7201945659708257,0.7215556126721443,0.7498765604094028,0.756542008558717,0.7674363992013012,0.7766564394566331,0.6080632959568397,0.6027224382493616,0.6676280769809195,0.6742995449689839,0.7232422001387632,0.6971578205339857,0.7440806506118343,0.7553684195714024,0.7609259873556498,0.8029176845397237,0.6087467287239683,0.6334792376211142,0.6730333742955596,0.7041675434876108,0.7060651409665275,0.7608621476323673,0.7862782548262742,0.8018349653537485,0.789420082996106,0.796652444388076,0.6107752429830815,0.6266237035855388,0.6970698290654751,0.7078530929575522,0.720241063505902,0.7768829074934449,0.7781395345538014,0.7789526610674257,0.7922548475382594,0.7760623090038228,0.6117652542837028,0.6237141335736854,0.6809914961262258,0.7016694396448402,0.731201569971121,0.7581395234941051,0.7718590475919125,0.7581298929789512,0.774921405278086,0.7864548969348921,0.5991359014149074,0.6088997017137074,0.6863765668239117,0.7115376428643924,0.739813424281355,0.7650369737963018,0.7674052344630852,0.782048342889281,0.7815842977653786
