method,metacells,n,auroc,k,dataset,user_time_seconds
GRNBOOST2,KMeans,109,0.7372455949028712,70,kim23-hm1_STRING12_K-70-MEANS1000TFs,1037.49
PIDC,KMeans,109,0.5103504402953368,70,kim23-hm1_STRING12_K-70-MEANS1000TFs,675.82
PIDC,SEACells,127,0.4938065962480303,60,kim23-hm1_STRING12_SEACells-n-127-1000TFs-_hvgs1000,586.92
GRNBOOST2,KMeans,127,0.7374283792411249,60,kim23-hm1_STRING12_K-60-MEANS1000TFs,1089.43
PIDC,KMeans,127,0.5048042673451705,60,kim23-hm1_STRING12_K-60-MEANS1000TFs,586.17
GENIE3,KMeans,127,0.7732181927688797,60,kim23-hm1_STRING12_K-60-MEANS1000TFs,5716.87
GRNBOOST2,SEACells,127,0.7407919035990481,60,kim23-hm1_STRING12_SEACells-n-127-1000TFs-_hvgs1000,1178.42
GENIE3,SEACells,127,0.7752165540773162,60,kim23-hm1_STRING12_SEACells-n-127-1000TFs-_hvgs1000,5567.7
GRNBOOST2,KMeans,153,0.7436614278177034,50,kim23-hm1_STRING12_K-50-MEANS1000TFs,1168.09
PIDC,KMeans,153,0.4942544668451024,50,kim23-hm1_STRING12_K-50-MEANS1000TFs,571.37
PIDC,SEACells,153,0.5005025939253164,50,kim23-hm1_STRING12_SEACells-n-153-1000TFs-_hvgs1000,582.55
GRNBOOST2,SEACells,153,0.7460015997784729,50,kim23-hm1_STRING12_SEACells-n-153-1000TFs-_hvgs1000,1327.41
GENIE3,KMeans,153,0.7783280162424095,50,kim23-hm1_STRING12_K-50-MEANS1000TFs,6029.94
GENIE3,SEACells,153,0.7763275929197903,50,kim23-hm1_STRING12_SEACells-n-153-1000TFs-_hvgs1000,6027.97
PIDC,SEACells,191,0.5025754561132306,40,kim23-hm1_STRING12_SEACells-n-191-1000TFs-_hvgs1000,581.28
GRNBOOST2,SEACells,191,0.7466231863973157,40,kim23-hm1_STRING12_SEACells-n-191-1000TFs-_hvgs1000,1484.08
GENIE3,SEACells,191,0.7795059168218936,40,kim23-hm1_STRING12_SEACells-n-191-1000TFs-_hvgs1000,6756.48
GENIE3,KMeans,191,0.7789912247630837,40,kim23-hm1_STRING12_K-40-MEANS1000TFs,6870.66
GRNBOOST2,KMeans,191,0.7381882787211914,40,kim23-hm1_STRING12_K-40-MEANS1000TFs,1333.46
PIDC,KMeans,191,0.4974141137875683,40,kim23-hm1_STRING12_K-40-MEANS1000TFs,589.95
PIDC,KMeans,255,0.5124592647124278,30,kim23-hm1_STRING12_K-30-MEANS1000TFs,577.61
GENIE3,KMeans,255,0.7817794060911702,30,kim23-hm1_STRING12_K-30-MEANS1000TFs,8462.56
GENIE3,SEACells,255,0.7817531091297881,30,kim23-hm1_STRING12_SEACells-n-255-1000TFs-_hvgs1000,8098.51
GRNBOOST2,SEACells,255,0.745037099124345,30,kim23-hm1_STRING12_SEACells-n-255-1000TFs-_hvgs1000,1881.13
PIDC,SEACells,255,0.7583803159403536,30,kim23-hm1_STRING12_SEACells-n-255-1000TFs-_hvgs1000,777.63
GRNBOOST2,KMeans,255,0.7380672112529997,30,kim23-hm1_STRING12_K-30-MEANS1000TFs,1663.6
GENIE3,SEACells,382,0.7834267492617806,20,kim23-hm1_STRING12_SEACells-n-382-1000TFs-_hvgs1000,12325.21
PIDC,SEACells,382,0.7695697116886426,20,kim23-hm1_STRING12_SEACells-n-382-1000TFs-_hvgs1000,837.32
GENIE3,KMeans,382,0.7811020984338753,20,kim23-hm1_STRING12_K-20-MEANS1000TFs,12302.02
GRNBOOST2,KMeans,382,0.7397922976618814,20,kim23-hm1_STRING12_K-20-MEANS1000TFs,3148.84
PIDC,KMeans,382,0.7683662482742722,20,kim23-hm1_STRING12_K-20-MEANS1000TFs,597.44
GRNBOOST2,SEACells,382,0.7448340615081276,20,kim23-hm1_STRING12_SEACells-n-382-1000TFs-_hvgs1000,3477.88
PIDC,KMeans,765,0.7802250493524412,10,kim23-hm1_STRING12_K-10-MEANS1000TFs,605.13
