method,budget_name,strategy,n_cells,total_umis_in_data,auroc
GENIE3,Nano10,11,1530,7218441,0.6889467903314864
GRNBOOST2,Nano10,11,1530,7218441,0.6724451866078964
PIDC,Nano10,11,1530,7218441,0.6935148400957077
GENIE3,Nano10,22,2295,7217477,0.6533309039855375
GRNBOOST2,Nano10,22,2295,7217477,0.6253713025791177
PIDC,Nano10,22,2295,7217477,0.6548986404413926
GENIE3,Nano10,33,3060,7217087,0.6540402124148226
GRNBOOST2,Nano10,33,3060,7217087,0.6238047902592181
PIDC,Nano10,33,3060,7217087,0.6510343251033296
GENIE3,Nano10,44,3825,7215201,0.6105030720316489
GRNBOOST2,Nano10,44,3825,7215201,0.585240168941202
PIDC,Nano10,44,3825,7215201,0.6100955215690796
GENIE3,Nano10,56,4591,7218054,0.6354608812726179
GRNBOOST2,Nano10,56,4591,7218054,0.5752300731494823
PIDC,Nano10,56,4591,7218054,0.6366747202594455
GENIE3,Nano10,67,5356,7217331,0.6149807954081791
GRNBOOST2,Nano10,67,5356,7217331,0.5692151590591537
PIDC,Nano10,67,5356,7217331,0.6281743786895508
GENIE3,Nano10,78,6121,7218513,0.6291029225921527
GRNBOOST2,Nano10,78,6121,7218513,0.5780873355005592
PIDC,Nano10,78,6121,7218513,0.6347573834756065
GENIE3,Nano10,89,6886,7216704,0.5940217476177625
GRNBOOST2,Nano10,89,6886,7216704,0.5609962568419177
PIDC,Nano10,89,6886,7216704,0.5981319490124262
