n_genes,mt,AUROC
1,25,0.7481475921594406
1000,25,0.790310110500499
1259,25,0.7866247164744411
1500,25,0.7735082083522733
2000,25,0.8072293668769613
250,25,0.7481477260939513
3000,25,0.8308171485955765
4000,25,0.814244862490262
500,25,0.8036556259805921
750,25,0.8143814530352369
4500,25,
5000,25,
